video_url,author,text,time,votes,is_reply
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@naziamujahid4895,Arda guler,6 months ago,60,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Captainblue1202,Anthony Edward’s nba player,6 months ago,39,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@lolformedude815,lebron,6 months ago,31,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@dobyz23,LEBRON,6 months ago,33,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@immutabile,mbappe,6 months ago,89,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ferhiunhom230,Joe Burrow.,6 months ago,24,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@chuchatr3635,ur mama,6 months ago,17,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@romdfilmss,Basketball LeGend,6 months ago,12,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@suyaib586,Messi,6 months ago,135,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@taraernst5359,Pete Alonso,6 months ago,14,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@corrupto_25,Messi,6 months ago,136,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@kekyshka1320,MBAPPE,6 months ago,58,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@NITROXPLAYZZZZ,Mbappe,6 months ago,52,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@AK_Animations_0,W,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@SimonEthan-e1y,W,6 months ago,5,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Wolf855,Lewis Hamilton,6 months ago,37,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@SuperJayden1,Messi,6 months ago,83,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Ameyu-p1f,Yamal❤,6 months ago,45,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@eldetective930,Ronaldinho,6 months ago,35,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Besmaxs,Arshad nadeem from pak,6 months ago,13,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@beibarysmukhambetzhan3020,"Ronaldo✔️
Neymar✔️
Messi❓️❓️❓️😳😳",6 months ago,96,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Randombean2721,Do usian bolt next that would be funny,6 months ago,32,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@joeburgess9131,Tom aspinall - true heavyweight champ,6 months ago,11,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Wimiloz,me,6 months ago,4,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@a.vizuals1,lebron,6 months ago,9,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@RealestReviews69,Khabib,6 months ago,21,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Poison_90s,Messi❤,6 months ago,55,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@byme568,VIRAT KOHLI,6 months ago,189,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ManvendraVk,Virat kohli,6 months ago,169,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@AmalenduSingh7,Virat kohli 😊,6 months ago,216,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@zihadhossein98,Messi🐐,6 months ago,48,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Tender28,shaq or mj,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@noiceman9906,Can't get messi the goat😏,6 months ago,19,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@noonessssssssssz,Virat kholi,6 months ago,136,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@umesh_janala,🇳🇵🇳🇵🇳🇵🇳🇵,6 months ago,5,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@foreverwicked,hellooo,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@One-in-black,Messi,6 months ago,32,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@caughtup726,Hmm 🤔,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@whatulookingat5652,lebron,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@W-pp2pf,LeBron,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@BonganiBanda-z1r,Jey USO,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@rthle27,PLS MESSI AND JORDAN,6 months ago,13,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@dereklee1015,Messi,6 months ago,27,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ayushgautam7546,virat kohli,6 months ago,89,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@waitformyturnbro,babar azam,6 months ago,14,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@raj_bhadani_04,Virat Kohli,6 months ago,98,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@shubhamsingh8870,Virat Kohli,6 months ago,93,False
